anyplace	anywherefffff	anywhere
ashcan's,garbage can's,trashcan's	dustbin's	garbage can's,trash can's
ashcan,garbage can,trashcan	dustbin	garbage can,trash can
ashcans,garbage cans,trashcans	dustbins	garbage cans,trash cans
attorneyfffff	barrister,solicitorfffff	lawyer
attorney'sfffff	barrister's,solicitor'sfffff	lawyer's
attorneysfffff	barristers,solicitorsfffff	lawyers
automobile	carfffff	car
automobile's	car'sfffff	car's
automobiles	carsfffff	cars
beeper	bleeper,pagerfffff	pager
beeper's	bleeper's,pager'sfffff	pager's
beepers	bleepers,pagersfffff	pagers
beltway	ring road	ring road
beltway's	ring road's	ring road's
beltways	ring roads	ring roads
billfold	walletfffff	wallet
billfold's	wallet'sfffff	wallet's
billfolds	walletsfffff	wallets
bookstore	bookshop	bookshop	
candy	sweetsfffff	candy,sweets
clothespin	clothes peg	clothespin
diaper	nappy	diaper
diaper's	nappy's	diaper's
diapers	nappies	diapers
dumpster	skipffffff	dumpster
elevator	liftffffff	elevator
elevator's	lift'sffffff	elevator's
elevators	liftsffffff	elevators
eraser	rubberffffff	eraser
eraser's	rubber'sffffff	eraser's
erasers	rubbersffffff	erasers
faucet	tapffffff	tap	(indoors)
faucet's	tap'sffffff	tap's	(indoors)
faucets	taps	tapsffffff	(indoors)
flashlight	torchffffff	flashlight
flashlight's	torch'sffffff	flashlight's
flashlights	torchesffffff	flashlights
freeway'sffffff,expressway'sffffff	motorway	highway's,thoroughfare's,freeway's
freewayffffff,expresswayffffff	motorway	highway,thoroughfare,freeway
freewaysffffff,expresswaysffffff	motorways	highways,thoroughfares,freeways
garbage collector	dustman	garbageman
garbage collector's	dustman's	garbageman's
garbage collectors	dustmans	garbagemans
gas'sffffff,gasoline's	petrol's	gas's,gasoline's
gasffffff,gasoline	petrol	gas,gasoline
gearshift	gear-lever	gearshift
gearshift's	gear-lever's	gearshift's
gearshifts	gear-levers	gearshifts
mailman	postman	letter carrier
mailman's	postman's	letter carrier's
mailmans	postmans	letter carriers
math	maths	math
movie	filmffffff	movie
movie's	film'sffffff	movie's
movies	filmsffffff	movies
overpass	flyoverffffff	overpass
overpass's	flyover'sffffff	overpass's
overpasses	flyoversffffff	overpasses
railroadffffff	railway	railway
railroad'sffffff	railway's	railway's
railroadsffffff	railways	railways
sedan	saloonffffff	sedan	(car)
sedan's	saloon'sffffff	sedan's	(car)
sedans	saloonsffffff	sedans	(car)
strollerffffff	pram	stroller
thumbtack	drawing-pin	thumbtack
thumbtack's	drawing-pin's	thumbtack's
thumbtacks	drawing-pins	thumbtacks
traffic circle's	roundabout's	roundabout's
traffic circles	roundabouts	roundabouts
truckffffff	lorry	truck
truck'sffffff	lorry's	truck's
trucksffffff	lorries	trucks
turnpike	toll motorway	toll motorway
turnpike's	toll motorway's	toll motorway's
turnpikes	toll motorways	toll motorways
undershirt	vestffffff	undershirt
undershirt's	vest'sffffff	undershirt's
undershirts	vestsffffff	undershirts
vacation	holidayffffff	holiday
vacation's	holiday'sffffff	holiday's
vacations	holidaysffffff	holidays
whiskey's,scotch'sffffff	whisky's	whiskey's,scotch's
whiskey,scotchffffff	whisky	whiskey,scotch
whiskeys,scotchsffffff	whiskys	whiskeys,scotchs
windshield	windscreenffffff	windshield
windshield's	windscreen'sffffff	windshield's
windshields	windscreensffffff	windshields
wrenchffffff	spanner	wrench
wrench'sffffff	spanner's	wrench's
wrenchesffffff	spanners	wrenches
zip code	postcode	postal code
zip code's	postcode's	postal code's
zip codes	postcodes	postal codes
zipper	zipffffff	zipper
zippered	zippedffffff	zippered
zippering	zippingffffff	zippering
